ComplianceResourceId,ComplianceType,Annotation,OrderingTimestamp
arn:aws:iam::017608207428:role/XenaAuditorRole-DO-NOT-DELETE,NOT_APPLICABLE,"SecurityAudit : operation error AccessAnalyzer: CheckAccessNotGranted, https response error StatusCode: 400, RequestID: deb13901-e636-465d-a62e-9b5451fa842d, ValidationException: The size of the policy in policyDocument, excluding whitespace, exceeds the 10000 character maximum for IDENTITY_POLICY.",2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/Admin,NON_COMPLIANT,AdministratorAccess : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/aws-controltower-AdministratorExecutionRole,NON_COMPLIANT,AdministratorAccess : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:user/slackacct1admin,NON_COMPLIANT,AdministratorAccess : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:user/logadmin,NON_COMPLIANT,"ShadowTrooperDenyAll : operation error AccessAnalyzer: CheckAccessNotGranted, https response error StatusCode: 400, RequestID: bd25bd69-ec9d-41fd-8649-72ae6bc9d5b6, InvalidParameterException: You must include at least one allow statement for analysis.
AdministratorAccess : One or more of the listed actions in the statement with index: 0.",2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/admin,NON_COMPLIANT,AdministratorAccess : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/aws-controltower-ConfigRecorderRole,NON_COMPLIANT,"ReadOnlyAccess : operation error AccessAnalyzer: CheckAccessNotGranted, https response error StatusCode: 400, RequestID: 6277b0c3-fcf7-43ae-97ad-75b95223fd0f, ValidationException: The size of the policy in policyDocument, including whitespace, exceeds the 32000 character maximum for IDENTITY_POLICY.
AWSConfigRole : One or more of the listed actions in the statement with index: 0.",2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/service-role/AmazonSageMaker-ExecutionRole-20230123T180004,NON_COMPLIANT,"AmazonSageMaker-ExecutionPolicy-20230123T180004 : One or more of the listed actions in the statement with index: 1.
AmazonSageMakerFullAccess : operation error AccessAnalyzer: CheckAccessNotGranted, https response error StatusCode: 400, RequestID: b42aa24a-96ba-4a69-8329-49f50a1d786e, ValidationException: The size of the policy in policyDocument, excluding whitespace, exceeds the 10000 character maximum for IDENTITY_POLICY.
AmazonSageMakerCanvasFullAccess : One or more of the listed actions in the statement with sid: S3Operations.",2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/service-role/AmazonSagemakerCanvasForecastRole-batman-1674514753336,NON_COMPLIANT,AmazonSageMakerCanvasForecastAccess : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/aws-perspective-033197602013-us-east-1-NeptuneRole-15KZHPXN8X1A3,NON_COMPLIANT,aws-perspective-033197602013-us-east-1-NeptuneStack-ID5H8BD5EUW7-NeptuneS3Policy-1DF2A530S4PSS : One or more of the listed actions in the statement with sid: AllowNeptuneAccessToS3.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/service-role/AmazonSageMakerServiceCatalogProductsCodePipelineRole,NON_COMPLIANT,AmazonSageMakerServiceCatalogProductsCodePipelineServiceRolePolicy : One or more of the listed actions in the statement with index: 1.,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/AWSControlTowerExecution,NON_COMPLIANT,AdministratorAccess : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/aws-reserved/sso.amazonaws.com/AWSReservedSSO_AWSAdministratorAccess_dd0e28375dfcd290,NON_COMPLIANT,AdministratorAccess : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/service-role/AmazonSageMakerServiceCatalogProductsGlueRole,NON_COMPLIANT,AmazonSageMakerServiceCatalogProductsGlueServiceRolePolicy : One or more of the listed actions in the statement with index: 2.,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/aws-reserved/sso.amazonaws.com/AWSReservedSSO_AWSPowerUserAccess_82326cdd1aa1f1e6,NON_COMPLIANT,PowerUserAccess : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/aws-reserved/sso.amazonaws.com/AWSReservedSSO_AWSReadOnlyAccess_0f0e6d6940ac93f1,NON_COMPLIANT,ViewOnlyAccess : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/service-role/AmazonSageMakerServiceCatalogProductsLaunchRole,NON_COMPLIANT,AmazonSageMakerAdmin-ServiceCatalogProductsServiceRolePolicy : One or more of the listed actions in the statement with index: 22.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/service-role/AmazonSageMakerServiceCatalogProductsUseRole,NON_COMPLIANT,AmazonSageMakerServiceCatalogProductsUseRole-20230123T180128 : One or more of the listed actions in the statement with index: 12.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/service-role/app_stage_transformer-role-f7xcxa94,NON_COMPLIANT,"AmazonEC2ReadOnlyAccess : One or more of the listed actions in the statement with index: 0.
AmazonS3FullAccess : One or more of the listed actions in the statement with index: 0.",2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/aws-service-role/compute-optimizer.amazonaws.com/AWSServiceRoleForComputeOptimizer,NON_COMPLIANT,ComputeOptimizerServiceRolePolicy : One or more of the listed actions in the statement with sid: Ec2Access.,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/aws-service-role/config-conforms.amazonaws.com/AWSServiceRoleForConfigConforms,NON_COMPLIANT,ConfigConformsServiceRolePolicy : One or more of the listed actions in the statement with index: 8.,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/aws-service-role/ecs.amazonaws.com/AWSServiceRoleForECS,NON_COMPLIANT,AmazonECSServiceRolePolicy : One or more of the listed actions in the statement with sid: ECSTaskManagement.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/service-role/aws-quicksight-service-role-v0,NON_COMPLIANT,"AWSQuickSightS3Policy : One or more of the listed actions in the statement with index: 2.
AWSQuicksightAthenaAccess : One or more of the listed actions in the statement with index: 2.",2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/service-role/AWSGlueServiceRole-completescv,NON_COMPLIANT,"AWSGlueServiceRole-completescv-EZCRC-s3Policy : One or more of the listed actions in the statement with index: 0.
AWSGlueServiceRole : One or more of the listed actions in the statement with index: 2.",2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/service-role/AWSGlueServiceRole-emr-k2,NON_COMPLIANT,"AWSGlueServiceRole-emr-k2-EZCRC-s3Policy : One or more of the listed actions in the statement with index: 0.
AWSGlueServiceRole : One or more of the listed actions in the statement with index: 2.",2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/service-role/AWSGlueServiceRole-finalref,NON_COMPLIANT,"AWSGlueServiceRole-finalref-EZCRC-s3Policy : One or more of the listed actions in the statement with index: 0.
AWSGlueServiceRole : One or more of the listed actions in the statement with index: 2.",2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/aws-service-role/trustedadvisor.amazonaws.com/AWSServiceRoleForTrustedAdvisor,NON_COMPLIANT,AWSTrustedAdvisorServiceRolePolicy : One or more of the listed actions in the statement with sid: TrustedAdvisorServiceRolePermissions.,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/azmapping-service-role,NON_COMPLIANT,AdministratorAccess : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/service-role/AWSGlueServiceRole-output,NON_COMPLIANT,"AWSGlueServiceRole-output-EZCRC-s3Policy : One or more of the listed actions in the statement with index: 0.
AWSGlueServiceRole : One or more of the listed actions in the statement with index: 2.",2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/cdk-hnb659fds-cfn-exec-role-033197602013-us-east-1,NON_COMPLIANT,AdministratorAccess : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/cdk-hnb659fds-deploy-role-033197602013-us-east-1,NON_COMPLIANT,default : One or more of the listed actions in the statement with sid: PipelineCrossAccountArtifactsBucket.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/service-role/AWSGlueServiceRole-rids,NON_COMPLIANT,"AWSGlueServiceRole-rids-EZCRC-s3Policy : One or more of the listed actions in the statement with index: 0.
AWSGlueServiceRole : One or more of the listed actions in the statement with index: 2.",2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/cdk-hnb659fds-file-publishing-role-033197602013-us-east-1,NON_COMPLIANT,cdk-hnb659fds-file-publishing-role-default-policy-033197602013-us-east-1 : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/service-role/AWSGlueServiceRole-uip,NON_COMPLIANT,"AWSGlueServiceRole-uip-EZCRC-s3Policy : One or more of the listed actions in the statement with index: 0.
AWSGlueServiceRole : One or more of the listed actions in the statement with index: 2.",2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/aws-service-role/malware-protection.guardduty.amazonaws.com/AWSServiceRoleForAmazonGuardDutyMalwareProtection,NON_COMPLIANT,AmazonGuardDutyMalwareProtectionServiceRolePolicy : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/EC2CapacityReservationService,NON_COMPLIANT,EC2CapacityReservationService : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/aws-service-role/compute-optimizer.amazonaws.com/AWSServiceRoleForComputeOptimizer,NON_COMPLIANT,ComputeOptimizerServiceRolePolicy : One or more of the listed actions in the statement with sid: Ec2Access.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/aws-service-role/elasticmapreduce.amazonaws.com/AWSServiceRoleForEMRCleanup,NON_COMPLIANT,AmazonEMRCleanupPolicy : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/GatedGardenInternalAudit,NON_COMPLIANT,GatedGardenInternalAuditPolicy : One or more of the listed actions in the statement with sid: CreateCodeBuildTrackingInfoBucketIfMissing.,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/IMDSv2-automigrator,NON_COMPLIANT,IMDSv2-automigrator : One or more of the listed actions in the statement with index: 1.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/aws-service-role/trustedadvisor.amazonaws.com/AWSServiceRoleForTrustedAdvisor,NON_COMPLIANT,AWSTrustedAdvisorServiceRolePolicy : One or more of the listed actions in the statement with sid: TrustedAdvisorServiceRolePermissions.,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/IsengardAuditorRole-DO-NOT-DELETE,NON_COMPLIANT,IsengardAuditorPolicy : One or more of the listed actions in the statement with index: 7.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/batman,NON_COMPLIANT,AdministratorAccess : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/IsengardRole-DO-NOT-DELETE,NON_COMPLIANT,IsengardControllerPolicy : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/checkNoAccessPolicyGeneral2023,NON_COMPLIANT,AdministratorAccess : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/delete-listener-neo,NON_COMPLIANT,AdministratorAccess : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/ec2-admin,NON_COMPLIANT,AdministratorAccess : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/EC2CapacityReservationService,NON_COMPLIANT,EC2CapacityReservationService : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/policy-general-2023,NON_COMPLIANT,AdministratorAccess : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/emr-crud,NON_COMPLIANT,AdministratorAccess : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/policy-general-checkNoAcces-AWSConfigRuleLambdaRole-v9QECJ33nuLm,NON_COMPLIANT,AWSConfigRuleLambdaRolePolicy0 : One or more of the listed actions in the statement with sid: S3BucketAccess.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/EMR_DefaultRole,NON_COMPLIANT,AmazonElasticMapReduceRole : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/ShadowTrooperRole,NON_COMPLIANT,ShadowTrooperPolicy-prod : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/EMR_EC2_DefaultRole,NON_COMPLIANT,AmazonElasticMapReduceforEC2Role : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/GatedGardenInternalAudit,NON_COMPLIANT,GatedGardenInternalAuditPolicy : One or more of the listed actions in the statement with sid: CreateCodeBuildTrackingInfoBucketIfMissing.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/IMDSv2-automigrator,NON_COMPLIANT,IMDSv2-automigrator : One or more of the listed actions in the statement with index: 1.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/IsengardAuditorRole-DO-NOT-DELETE,NON_COMPLIANT,IsengardAuditorPolicy : One or more of the listed actions in the statement with index: 7.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/IsengardRole-DO-NOT-DELETE,NON_COMPLIANT,IsengardControllerPolicy : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/service-role/lambdacreateslackapp,NON_COMPLIANT,AWSLambdaTestHarnessExecutionRole-35de830e-a699-4185-8da9-6223f55ea8e2 : One or more of the listed actions in the statement with index: 1.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/neo-trinity-srvc,NON_COMPLIANT,AdministratorAccess : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/pez-assume-role,NON_COMPLIANT,AdministratorAccess : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/ShadowTrooperRole,NON_COMPLIANT,ShadowTrooperPolicy-prod : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/showbackpoc,NON_COMPLIANT,AdministratorAccess : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/slackacct1servicerole,NON_COMPLIANT,AdministratorAccess : One or more of the listed actions in the statement with index: 0.,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/us-east-1_oGd5sz49o_Full-access,NON_COMPLIANT,"AdministratorAccess-Amplify : operation error AccessAnalyzer: CheckAccessNotGranted, https response error StatusCode: 400, RequestID: 89fdff8c-123a-4e15-ae58-4a3055f63e1b, ValidationException: The size of the policy in policyDocument, excluding whitespace, exceeds the 10000 character maximum for IDENTITY_POLICY.
Full-access-Policy : One or more of the listed actions in the statement with sid: CLISDKCalls.",2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/us-east-1_oGd5sz49o_Manage-only,NON_COMPLIANT,Amplify-Admin-ManageOnly-Policy : One or more of the listed actions in the statement with sid: S3GetPolicy.,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/AccessAnalyzerTrustedService,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/AVMContainersUserRole,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/service-role/aws-config-aggregator-role,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/aws-controltower-CloudWatchLogsRole,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/AccessAnalyzerTrustedService,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/service-role/adobe_nfl_test-role-8ayzo5k1,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/aws-controltower-ForwardSnsNotificationRole,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/aws-perspective-033197602-CleanupBucketFunctionRol-15G8YA613O3JI,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/aws-perspective-033197602013-us-e-SearchLambdaRole-1OA4B5JUI3V53,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/aws-perspective-033197602013-us-east-1-FlowLogRole-TOAUT2L70QR2,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/service-role/AmazonSageMakerServiceCatalogProductsApiGatewayRole,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/service-role/AmazonSageMakerServiceCatalogProductsCloudformationRole,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/aws-perspective-033197602013-us-LambdaFunctionRole-10EO55KNDE247,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/aws-perspective-2021-ApiGatewayCloudWatchLogsRole-KKJAFJ7CGL0R,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/aws-perspective-solution-ApiGatewayCloudWatchLogs-1KH6MVXL175GD,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/service-role/AmazonSageMakerServiceCatalogProductsEventsRole,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/AWSCloudFormationStackSetAdministrationRole,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/service-role/AmazonSageMakerServiceCatalogProductsFirehoseRole,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/AwsSecurityNacundaAudit,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/aws-service-role/access-analyzer.amazonaws.com/AWSServiceRoleForAccessAnalyzer,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/aws-service-role/es.amazonaws.com/AWSServiceRoleForAmazonElasticsearchService,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/amplify-login-lambda-d1211373,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/aws-service-role/ops.apigateway.amazonaws.com/AWSServiceRoleForAPIGateway,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/aws-service-role/logger.cloudfront.amazonaws.com/AWSServiceRoleForCloudFrontLogger,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/AVMContainersUserRole,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/aws-service-role/isengard.aws.internal/AWSServiceRoleForIsengardControllerRoleInternal,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/aws-service-role/organizations.amazonaws.com/AWSServiceRoleForOrganizations,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/aws-service-role/rds.amazonaws.com/AWSServiceRoleForRDS,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/aws-service-role/sso.amazonaws.com/AWSServiceRoleForSSO,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/cdk-hnb659fds-image-publishing-role-033197602013-us-east-1,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/CodeGuruProfilerForwardToAmazonProfiler,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/AwsSecurityNacundaAudit,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/service-role/CognitoAccessForAmazonES,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/Cognito_testAuth_Role,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/Cognito_testUnauth_Role,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/service-role/config_test-role-udhj5qu3,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/aws-service-role/sagemaker.amazonaws.com/AWSServiceRoleForAmazonSageMakerNotebooks,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/CT-VPCFlowLog-LambdaRole,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/service-role/custom_config_rule-role-x6hpl357,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/aws-service-role/ops.apigateway.amazonaws.com/AWSServiceRoleForAPIGateway,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/DiscoveryAnalyzerTrustedService-DO-NOT-DELETE,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::017608207428:role/aws-service-role/dynamodb.application-autoscaling.amazonaws.com/AWSServiceRoleForApplicationAutoScaling_DynamoDBTable,COMPLIANT,,2023-12-20T20:24:38Z
arn:aws:iam::033197602013:role/GatedGardenAudit,COMPLIANT,,2023-12-20T20:24:38Z
